Артикул,Пристрій,Клас,К-ть пропозицій,Найкраща ціна $,Постачальник,Всі пропозиції
U.061.000-033,Apple IPhone 12 Pro,Скло дисплейного модулю,23,1.65,ocapro,1.65$ ocapro (Опт — Скло дисплея iPhone 12 Pro ORIG 1:1) | 1.76$ ocapro (Роздріб — Скло дисплея iPhone 12 Pro ORIG 1:1) | 1.8$ refparts (Великий опт — Скло+ОСА MUSTTBY iPhone 12/ 12 Pro) | 1.85$ refparts (Середній опт — Скло+ОСА MUSTTBY iPhone 12/ 12 Pro) | 1.9$ refparts (Дрібний опт — Скло+ОСА MUSTTBY iPhone 12/ 12 Pro) | 2.0$ ocapro (Опт — Скло дисплея iPhone 12/12 Pro+OCA ORIG 1:1) | 2.01$ ocapro (Опт — Скло дисплея iPhone 12/12 Pro+OCA ORIG 1:1 ZM) | 2.15$ ocapro (Роздріб — Скло дисплея iPhone 12/12 Pro+OCA ORIG 1:1) | 2.15$ refparts (Великий опт — Скло+ОСА G+OCA pro iPhone 12/ 12 Pro) | 2.16$ ocapro (Роздріб — Скло дисплея iPhone 12/12 Pro+OCA ORIG 1:1 ZM) | 2.2$ refparts (Середній опт — Скло+ОСА G+OCA pro iPhone 12/ 12 Pro) | 2.25$ refparts (Дрібний опт — Скло+ОСА G+OCA pro iPhone 12/ 12 Pro) | 2.55$ refparts (Великий опт — Скло+ОСА Feaglet iPhone 12/ 12 Pro) | 2.6$ refparts (Середній опт — Скло+ОСА Feaglet iPhone 12/ 12 Pro) | 2.65$ refparts (Дрібний опт — Скло+ОСА Feaglet iPhone 12/ 12 Pro) | 2.77$ ocapro (Опт — скло дисплея iPhone 12/12 PRO + T-OCA 125u ORIG 1:1) | 2.83$ ocapro (Опт — Скло дисплея iPhone 12/12 Pro+Polar+OCA ORIG 1:1) | 2.96$ ocapro (Роздріб — скло дисплея iPhone 12/12 PRO + T-OCA 125u ORIG 1:1) | 3.02$ ocapro (Роздріб — Скло дисплея iPhone 12/12 Pro+Polar+OCA ORIG 1:1) | 3.06$ ocapro (Опт — Скло дисплея iPhone 12/12 Pro + OCA ORIG 1:1 (Feaglet)) | 3.27$ ocapro (Роздріб — Скло дисплея iPhone 12/12 Pro + OCA ORIG 1:1 (Feaglet)) | 5.65$ ocapro (Опт — Скло дисплея iPhone 12/12 Pro+OCA ORIG 99%) | 6.04$ ocapro (Роздріб — Скло дисплея iPhone 12/12 Pro+OCA ORIG 99%)
U.061.000-065,Apple iPhone 14 Pro,Скло дисплейного модулю,26,1.65,ocapro,1.65$ ocapro (Опт — Скло дисплея iPhone 14 Pro ORIG 1:1) | 1.76$ ocapro (Роздріб — Скло дисплея iPhone 14 Pro ORIG 1:1) | 1.9$ refparts (Великий опт — Скло+ОСА MUSTTBY iPhone 14 Pro) | 1.95$ refparts (Середній опт — Скло+ОСА MUSTTBY iPhone 14 Pro) | 2.0$ ocapro (Опт — Скло дисплея iPhone 14 PRO+OCA ORIG 1:1) | 2.0$ refparts (Дрібний опт — Скло+ОСА MUSTTBY iPhone 14 Pro) | 2.12$ ocapro (Опт — Скло дисплея iPhone 14 PRO+OCA (Anti UV) ORIG 1:1) | 2.15$ ocapro (Роздріб — Скло дисплея iPhone 14 PRO+OCA ORIG 1:1) | 2.15$ refparts (Великий опт — Скло+ОСА G+OCA pro iPhone 14 Pro) | 2.2$ refparts (Середній опт — Скло+ОСА G+OCA pro iPhone 14 Pro) | 2.25$ refparts (Дрібний опт — Скло+ОСА G+OCA pro iPhone 14 Pro) | 2.27$ ocapro (Роздріб — Скло дисплея iPhone 14 PRO+OCA (Anti UV) ORIG 1:1) | 2.5$ refparts (Великий опт — Скло+ОСА+поляр G+OCA pro iPhone 14 Pro) | 2.55$ refparts (Середній опт — Скло+ОСА+поляр G+OCA pro iPhone 14 Pro) | 2.6$ refparts (Дрібний опт — Скло+ОСА+поляр G+OCA pro iPhone 14 Pro) | 2.77$ ocapro (Опт — Скло дисплея iPhone 14 PRO+Т-OCA ORIG 1:1) | 2.83$ ocapro (Опт — Скло дисплея iPhone 14 Pro+Polar+OCA ORIG 1:1) | 2.9$ refparts (Великий опт — Скло+ОСА Feaglet iPhone 14 Pro) | 2.95$ refparts (Середній опт — Скло+ОСА Feaglet iPhone 14 Pro) | 2.96$ ocapro (Роздріб — Скло дисплея iPhone 14 PRO+Т-OCA ORIG 1:1) | 3.0$ refparts (Дрібний опт — Скло+ОСА Feaglet iPhone 14 Pro) | 3.02$ ocapro (Роздріб — Скло дисплея iPhone 14 Pro+Polar+OCA ORIG 1:1) | 3.53$ ocapro (Опт — Скло дисплея iPhone 14 Pro + OCA ORIG 1:1 (Feaglet)) | 3.78$ ocapro (Роздріб — Скло дисплея iPhone 14 Pro + OCA ORIG 1:1 (Feaglet)) | 6.35$ ocapro (Опт — Скло дисплея iPhone 14 pro+OCA ORIG 99%) | 6.8$ ocapro (Роздріб — Скло дисплея iPhone 14 pro+OCA ORIG 99%)
U.101.000-001,"Apple IPhone 12 Pro Max, Apple IPhone 13 Pro Max, Apple IPhone 14 Pro Max, Apple IPhone 14 Plus",Плівка дисплею смартфону захисна,0,,,
U.008.000-013,"Apple IPhone 12, Apple IPhone 12 Pro",АКБ без калібрування,9,5.9,ocapro,5.9$ ocapro (Опт — Акумулятор iPhone 12/12 PRO ORIG Банка 2815 mAh стандарт) | 6.0$ icracked (Банка (АКБ без контроллера)) | 6.35$ ocapro (Роздріб — Акумулятор iPhone 12/12 PRO ORIG Банка 2815 mAh стандарт) | 6.58$ ocapro (Опт — Акумулятор iPhone 12/12 PRO ORIG Банка підвищена ємність 3320 mAh (Logo)) | 6.82$ ocapro (Опт — Акумулятор iPhone 12/12 PRO ORIG Банка підвищена ємність 3320 mAh) | 7.05$ ocapro (Роздріб — Акумулятор iPhone 12/12 PRO ORIG Банка підвищена ємність 3320 mAh (Logo)) | 7.3$ ocapro (Роздріб — Акумулятор iPhone 12/12 PRO ORIG Банка підвищена ємність 3320 mAh) | 13.0$ icracked (Стандарт 🔄 вживана деталь 100% - 0 циклів) | 14.0$ icracked (Посилена 💪🏼 + лого🍏 🔄 вживана деталь 100% - 0 циклів)
U.117.000-003,"Apple IPhone 12, Apple IPhone 12 Pro, Apple IPhone 12 Mini, Apple IPhone SE 3",Шлейф акумулятора,4,7.64,ocapro,7.64$ ocapro (Опт — JCID Tag-On Battery Repair iPhone 12 PM) | 8.19$ ocapro (Роздріб — JCID Tag-On Battery Repair iPhone 12 PM) | 13.99$ ocapro (Опт — JCID Face ID Tag-On Repair iPhone 12 PM) | 14.99$ ocapro (Роздріб — JCID Face ID Tag-On Repair iPhone 12 PM)
U.117.000-007,"Apple iPhone 14, Apple iPhone 14 Plus",Шлейф акумулятора,2,16.22,ocapro,16.22$ ocapro (Опт — JCID Face ID Tag-On Repair iPhone 14 Plus) | 17.37$ ocapro (Роздріб — JCID Face ID Tag-On Repair iPhone 14 Plus)
U.117.000-008,Apple iPhone 15 Pro,Шлейф акумулятора,0,,,
U.008.000-009,Apple IPhone 13,АКБ без калібрування,9,6.12,ocapro,6.12$ ocapro (Опт — Акумулятор iPhone 13 ORIG Банка 3227 mAh (стандарт)) | 6.58$ ocapro (Роздріб — Акумулятор iPhone 13 ORIG Банка 3227 mAh (стандарт)) | 7.05$ ocapro (Опт — Акумулятор iPhone 13 ORIG Банка підвищена ємність 3720 mAh) | 7.05$ ocapro (Опт — Акумулятор iPhone 13 ORIG Банка підвищена ємність 3720 mAh (Logo)) | 7.5$ icracked (Банка (АКБ без контроллера)) | 7.55$ ocapro (Роздріб — Акумулятор iPhone 13 ORIG Банка підвищена ємність 3720 mAh) | 7.55$ ocapro (Роздріб — Акумулятор iPhone 13 ORIG Банка підвищена ємність 3720 mAh (Logo)) | 16.0$ icracked (Стандарт 🔄 вживана деталь 100% - 0 циклів) | 16.0$ icracked (Посилена 💪🏼 + лого🍏 🔄 вживана деталь 100% - 0 циклів)
U.009.000-065,Apple IPhone 13,АКБ з калібруванням,5,10.82,ocapro,10.82$ ocapro (Опт — Акумулятор iPhone 13 ORIG 3720 mAh) | 11.58$ ocapro (Роздріб — Акумулятор iPhone 13 ORIG 3720 mAh) | 13.6$ ocapro (Опт — Акумулятор iPhone 13 ORIG IOS 18/26 без помилки 3720 mAh) | 14.51$ ocapro (Роздріб — Акумулятор iPhone 13 ORIG IOS 18/26 без помилки 3720 mAh) | 28.0$ icracked (Посилена 💪🏼З лого🍏 Genuine batteries ✅ Оригінальна деталь 100% - 0 циклів)
U.009.000-001,Apple IPhone 13,АКБ з калібруванням,5,10.82,ocapro,10.82$ ocapro (Опт — Акумулятор iPhone 13 ORIG 3720 mAh) | 11.58$ ocapro (Роздріб — Акумулятор iPhone 13 ORIG 3720 mAh) | 13.6$ ocapro (Опт — Акумулятор iPhone 13 ORIG IOS 18/26 без помилки 3720 mAh) | 14.51$ ocapro (Роздріб — Акумулятор iPhone 13 ORIG IOS 18/26 без помилки 3720 mAh) | 28.0$ icracked (Посилена 💪🏼З лого🍏 Genuine batteries ✅ Оригінальна деталь 100% - 0 циклів)
U.021.000-001,Apple IPhone 13,Динамік верхній (Speaker),0,,,
U.022.000-001,Apple IPhone 13,Динамік нижній (Buzzer),0,,,
U.023.000-001,Apple IPhone 13,Дисплейний модуль,2,55.23,ocapro,55.23$ ocapro (Опт — Дисплей iPhone 13 OLED Soft 120 Hz) | 59.17$ ocapro (Роздріб — Дисплей iPhone 13 OLED Soft 120 Hz)
U.023.000-019,Apple IPhone 13,Дисплейний модуль,2,55.23,ocapro,55.23$ ocapro (Опт — Дисплей iPhone 13 OLED Soft 120 Hz) | 59.17$ ocapro (Роздріб — Дисплей iPhone 13 OLED Soft 120 Hz)
U.025.000-001,Apple IPhone 13,Камера основна без лідару,0,,,
U.025.000-030,Samsung Galaxy S24 Ultra,Камера основна без лідару,0,,,
U.033.000-001,Apple IPhone 13,Комплект кнопок регулювання гучності та увімкнення,0,,,
U.035.000-007,Apple IPhone 13,Комплект скла основної камери,0,,,
U.040.000-003,Apple IPhone 13,Корпус смартфону з кнопками,0,,,
U.061.000-001,Apple IPhone 13,Скло дисплейного модулю,0,,,
U.068.000-001,Apple IPhone 13,Шлейф бездротової зарядки,0,,,
U.068.000-004,Google Pixel 7 Pro,Шлейф бездротової зарядки,0,,,
U.069.000-006,Apple IPhone 13,Шлейф верхній з датчиком світла,0,,,
U.075.000-002,Apple IPhone 13,Шлейф кнопок гучності і вмикання,0,,,
U.076.000-009,Apple IPhone 13,Шлейф модулю Bluetooth/NFC,0,,,
U.079.000-001,Apple IPhone 13,Шлейф нижній із зарядним портом і мікрофоном,0,,,
U.081.000-001,Apple IPhone 13,Кришка корпусу задня без обвісу,24,4.0,ocapro,4.0$ ocapro (Опт — Задня кришка iPhone 13 Black BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 Blue BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 Pink BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 White BIG) | 4.23$ ocapro (Опт — Задня кришка iPhone 13 Green BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Black BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Blue BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Pink BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 White BIG) | 4.47$ ocapro (Опт — Задня кришка iPhone 13 Pink) | 4.53$ ocapro (Роздріб — Задня кришка iPhone 13 Green BIG) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Red BIG) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Black) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Green) | 4.78$ ocapro (Роздріб — Задня кришка iPhone 13 Pink) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Red BIG) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Black) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Green) | 5.41$ ocapro (Опт — Задня кришка iPhone 13 Red) | 5.41$ ocapro (Опт — Задня кришка iPhone 13 White) | 5.65$ ocapro (Опт — Задня кришка iPhone 13 Blue) | 5.79$ ocapro (Роздріб — Задня кришка iPhone 13 Red) | 5.79$ ocapro (Роздріб — Задня кришка iPhone 13 White) | 6.04$ ocapro (Роздріб — Задня кришка iPhone 13 Blue)
U.081.000-002,Apple IPhone 13,Кришка корпусу задня без обвісу,24,4.0,ocapro,4.0$ ocapro (Опт — Задня кришка iPhone 13 Black BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 Blue BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 Pink BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 White BIG) | 4.23$ ocapro (Опт — Задня кришка iPhone 13 Green BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Black BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Blue BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Pink BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 White BIG) | 4.47$ ocapro (Опт — Задня кришка iPhone 13 Pink) | 4.53$ ocapro (Роздріб — Задня кришка iPhone 13 Green BIG) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Red BIG) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Black) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Green) | 4.78$ ocapro (Роздріб — Задня кришка iPhone 13 Pink) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Red BIG) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Black) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Green) | 5.41$ ocapro (Опт — Задня кришка iPhone 13 Red) | 5.41$ ocapro (Опт — Задня кришка iPhone 13 White) | 5.65$ ocapro (Опт — Задня кришка iPhone 13 Blue) | 5.79$ ocapro (Роздріб — Задня кришка iPhone 13 Red) | 5.79$ ocapro (Роздріб — Задня кришка iPhone 13 White) | 6.04$ ocapro (Роздріб — Задня кришка iPhone 13 Blue)
U.081.000-003,Apple IPhone 13,Кришка корпусу задня без обвісу,24,4.0,ocapro,4.0$ ocapro (Опт — Задня кришка iPhone 13 Black BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 Blue BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 Pink BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 White BIG) | 4.23$ ocapro (Опт — Задня кришка iPhone 13 Green BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Black BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Blue BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Pink BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 White BIG) | 4.47$ ocapro (Опт — Задня кришка iPhone 13 Pink) | 4.53$ ocapro (Роздріб — Задня кришка iPhone 13 Green BIG) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Red BIG) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Black) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Green) | 4.78$ ocapro (Роздріб — Задня кришка iPhone 13 Pink) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Red BIG) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Black) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Green) | 5.41$ ocapro (Опт — Задня кришка iPhone 13 Red) | 5.41$ ocapro (Опт — Задня кришка iPhone 13 White) | 5.65$ ocapro (Опт — Задня кришка iPhone 13 Blue) | 5.79$ ocapro (Роздріб — Задня кришка iPhone 13 Red) | 5.79$ ocapro (Роздріб — Задня кришка iPhone 13 White) | 6.04$ ocapro (Роздріб — Задня кришка iPhone 13 Blue)
U.081.000-004,Apple IPhone 13,Кришка корпусу задня без обвісу,24,4.0,ocapro,4.0$ ocapro (Опт — Задня кришка iPhone 13 Black BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 Blue BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 Pink BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 White BIG) | 4.23$ ocapro (Опт — Задня кришка iPhone 13 Green BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Black BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Blue BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Pink BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 White BIG) | 4.47$ ocapro (Опт — Задня кришка iPhone 13 Pink) | 4.53$ ocapro (Роздріб — Задня кришка iPhone 13 Green BIG) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Red BIG) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Black) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Green) | 4.78$ ocapro (Роздріб — Задня кришка iPhone 13 Pink) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Red BIG) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Black) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Green) | 5.41$ ocapro (Опт — Задня кришка iPhone 13 Red) | 5.41$ ocapro (Опт — Задня кришка iPhone 13 White) | 5.65$ ocapro (Опт — Задня кришка iPhone 13 Blue) | 5.79$ ocapro (Роздріб — Задня кришка iPhone 13 Red) | 5.79$ ocapro (Роздріб — Задня кришка iPhone 13 White) | 6.04$ ocapro (Роздріб — Задня кришка iPhone 13 Blue)
U.081.000-005,Apple IPhone 13,Кришка корпусу задня без обвісу,24,4.0,ocapro,4.0$ ocapro (Опт — Задня кришка iPhone 13 Black BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 Blue BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 Pink BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 White BIG) | 4.23$ ocapro (Опт — Задня кришка iPhone 13 Green BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Black BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Blue BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Pink BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 White BIG) | 4.47$ ocapro (Опт — Задня кришка iPhone 13 Pink) | 4.53$ ocapro (Роздріб — Задня кришка iPhone 13 Green BIG) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Red BIG) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Black) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Green) | 4.78$ ocapro (Роздріб — Задня кришка iPhone 13 Pink) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Red BIG) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Black) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Green) | 5.41$ ocapro (Опт — Задня кришка iPhone 13 Red) | 5.41$ ocapro (Опт — Задня кришка iPhone 13 White) | 5.65$ ocapro (Опт — Задня кришка iPhone 13 Blue) | 5.79$ ocapro (Роздріб — Задня кришка iPhone 13 Red) | 5.79$ ocapro (Роздріб — Задня кришка iPhone 13 White) | 6.04$ ocapro (Роздріб — Задня кришка iPhone 13 Blue)
U.081.000-006,Apple IPhone 13,Кришка корпусу задня без обвісу,24,4.0,ocapro,4.0$ ocapro (Опт — Задня кришка iPhone 13 Black BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 Blue BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 Pink BIG) | 4.0$ ocapro (Опт — Задня кришка iPhone 13 White BIG) | 4.23$ ocapro (Опт — Задня кришка iPhone 13 Green BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Black BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Blue BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 Pink BIG) | 4.28$ ocapro (Роздріб — Задня кришка iPhone 13 White BIG) | 4.47$ ocapro (Опт — Задня кришка iPhone 13 Pink) | 4.53$ ocapro (Роздріб — Задня кришка iPhone 13 Green BIG) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Red BIG) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Black) | 4.7$ ocapro (Опт — Задня кришка iPhone 13 Green) | 4.78$ ocapro (Роздріб — Задня кришка iPhone 13 Pink) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Red BIG) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Black) | 5.04$ ocapro (Роздріб — Задня кришка iPhone 13 Green) | 5.41$ ocapro (Опт — Задня кришка iPhone 13 Red) | 5.41$ ocapro (Опт — Задня кришка iPhone 13 White) | 5.65$ ocapro (Опт — Задня кришка iPhone 13 Blue) | 5.79$ ocapro (Роздріб — Задня кришка iPhone 13 Red) | 5.79$ ocapro (Роздріб — Задня кришка iPhone 13 White) | 6.04$ ocapro (Роздріб — Задня кришка iPhone 13 Blue)
U.084.000-001,Apple IPhone 13,Корпус смартфону в зборі,0,,,
U.084.000-002,Apple IPhone 13,Корпус смартфону в зборі,0,,,
U.084.000-003,Apple IPhone 13,Корпус смартфону в зборі,0,,,
U.084.000-004,Apple IPhone 13,Корпус смартфону в зборі,0,,,
U.084.000-005,Apple IPhone 13,Корпус смартфону в зборі,0,,,
U.084.000-006,Apple IPhone 13,Корпус смартфону в зборі,0,,,
U.085.000-001,Apple IPhone 13,Камера фронтальна без FaceID,0,,,
U.109.000-013,Apple IPhone 13,Рамка кріплення дисплея,0,,,
U.086.000-001,Apple IPhone 13,Шлейф програмування АКБ,0,,,
U.099.000-001,Apple IPhone 13,Магнітне кільце MagSafe,0,,,
U.118.000-003,Apple IPhone 13,Трафарет,1,4.0,uparts,4.0$ uparts (Ціна — Трафарет Amaoe BGA 0.12mm Apple iPhone 13)
U.069.000-007,Apple IPhone 13,Шлейф верхній з датчиком світла,0,,,
U.016.000-030,Apple IPhone 13,Гвинти фіксуючі (дисплейні),0,,,
U.016.000-031,Apple IPhone 13,Гвинти фіксуючі (дисплейні),0,,,
U.016.000-032,Apple IPhone 13,Гвинти фіксуючі (дисплейні),0,,,
U.016.000-033,Apple IPhone 13,Гвинти фіксуючі (дисплейні),0,,,
U.016.000-055,Apple iPhone 13,Гвинти фіксуючі (дисплейні),0,,,
U.078.000-009,Apple IPhone 13,Шлейф модулю WiFi,0,,,
U.008.000-012,Apple IPhone 13 Pro,АКБ без калібрування,9,8.3,ocapro,8.3$ ocapro (Опт — Акумулятор iPhone 13 pro ORIG Банка 3095 mAh (стандарт)) | 8.93$ ocapro (Роздріб — Акумулятор iPhone 13 pro ORIG Банка 3095 mAh (стандарт)) | 9.4$ ocapro (Опт — Акумулятор iPhone 13 Pro ORIG Банка підвищена ємність 3410 mAh (Logo)) | 9.5$ icracked (Банка (АКБ без контроллера)) | 9.64$ ocapro (Опт — Акумулятор iPhone 13 Pro ORIG Банка підвищена ємність 3410 mAh) | 10.07$ ocapro (Роздріб — Акумулятор iPhone 13 Pro ORIG Банка підвищена ємність 3410 mAh (Logo)) | 10.32$ ocapro (Роздріб — Акумулятор iPhone 13 Pro ORIG Банка підвищена ємність 3410 mAh) | 16.0$ icracked (Стандарт 🔄 вживана деталь 100% - 0 циклів) | 17.0$ icracked (Посилена 💪🏼 + лого🍏 🔄 вживана деталь 100% - 0 циклів)
U.009.000-066,Apple IPhone 13 Pro,АКБ з калібруванням,5,13.17,ocapro,13.17$ ocapro (Опт — Акумулятор iPhone 13 PRO ORIG 3410 mAh) | 14.1$ ocapro (Роздріб — Акумулятор iPhone 13 PRO ORIG 3410 mAh) | 15.86$ ocapro (Опт — Акумулятор iPhone 13 PRO ORIG IOS 18/26 без помилки 3410 mAh) | 16.93$ ocapro (Роздріб — Акумулятор iPhone 13 PRO ORIG IOS 18/26 без помилки 3410 mAh) | 33.0$ icracked (Посилена 💪🏼З лого🍏 Genuine batteries ✅ Оригінальна деталь 100% - 0 циклів)
